Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
80,139,Undirected,2120,person-person,2,,person<--->person,"#000000"
6,44,Undirected,1882,person-person,2,,person<--->person,"#000000"
6,34,Undirected,1881,person-person,1,,person<--->person,"#000000"
80,150,Undirected,2121,person-person,2,,person<--->person,"#000000"
78,182,Undirected,2088,person-person,1,,person<--->person,"#000000"
5,330,Undirected,1875,person-person,2,,person<--->person,"#000000"
84,150,Undirected,2177,person-person,2,,person<--->person,"#000000"
5,324,Undirected,1872,person-person,1,,person<--->person,"#000000"
80,192,Undirected,2129,person-person,2,,person<--->person,"#000000"
80,156,Undirected,2122,person-person,1,,person<--->person,"#000000"
33,333,Undirected,1985,person-person,1,,person<--->person,"#000000"
5,188,Undirected,1863,person-person,1,,person<--->person,"#000000"
84,176,Undirected,2178,person-person,3,,person<--->person,"#000000"
80,165,Undirected,2123,person-person,1,,person<--->person,"#000000"
16,111,Undirected,1904,person-person,2,,person<--->person,"#000000"
80,176,Undirected,2124,person-person,2,,person<--->person,"#000000"
5,139,Undirected,1855,person-person,1,,person<--->person,"#000000"
84,184,Undirected,2179,person-person,2,,person<--->person,"#000000"
5,119,Undirected,1850,person-person,1,,person<--->person,"#000000"
78,184,Undirected,2089,person-person,1,,person<--->person,"#000000"
80,301,Undirected,2132,person-person,2,,person<--->person,"#000000"
5,97,Undirected,1845,person-person,2,,person<--->person,"#000000"
